<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;D;02/08/21;000000;286.7500000
GAZP;D;03/08/21;000000;287.0900000
GAZP;D;04/08/21;000000;287.9400000
GAZP;D;05/08/21;000000;285.9500000
GAZP;D;06/08/21;000000;282.2700000
GAZP;D;09/08/21;000000;286.6800000
GAZP;D;10/08/21;000000;288.6100000
GAZP;D;11/08/21;000000;290.3500000
GAZP;D;12/08/21;000000;293.2300000
GAZP;D;13/08/21;000000;292.7000000
GAZP;D;16/08/21;000000;295.1000000
GAZP;D;17/08/21;000000;298.3200000
GAZP;D;18/08/21;000000;295.0500000
GAZP;D;19/08/21;000000;293.6800000
GAZP;D;20/08/21;000000;292.5700000
GAZP;D;23/08/21;000000;297.6900000
GAZP;D;24/08/21;000000;298.7000000
GAZP;D;25/08/21;000000;296.7000000
GAZP;D;26/08/21;000000;294.3400000
GAZP;D;27/08/21;000000;299.6600000
GAZP;D;30/08/21;000000;305.1700000
GAZP;D;31/08/21;000000;305.6500000
GAZP;D;01/09/21;000000;312.8900000
GAZP;D;02/09/21;000000;312.3000000
GAZP;D;03/09/21;000000;317.9400000
GAZP;D;06/09/21;000000;328.9300000
GAZP;D;07/09/21;000000;327.7300000
GAZP;D;08/09/21;000000;327.6000000
GAZP;D;09/09/21;000000;324.5700000
GAZP;D;10/09/21;000000;326.4300000
GAZP;D;13/09/21;000000;332.7500000
GAZP;D;14/09/21;000000;338.9800000
GAZP;D;15/09/21;000000;343.3400000
GAZP;D;16/09/21;000000;338.5000000
GAZP;D;17/09/21;000000;334.5000000
GAZP;D;20/09/21;000000;325.7000000
GAZP;D;21/09/21;000000;335.3000000
GAZP;D;22/09/21;000000;340.5900000
GAZP;D;23/09/21;000000;343.4700000
GAZP;D;24/09/21;000000;344.2900000
GAZP;D;27/09/21;000000;355.1900000
GAZP;D;28/09/21;000000;354.0700000
GAZP;D;29/09/21;000000;360.8800000
GAZP;D;30/09/21;000000;360.8000000
GAZP;D;01/10/21;000000;363.2500000
GAZP;D;04/10/21;000000;376.0600000
GAZP;D;05/10/21;000000;389.8200000
GAZP;D;06/10/21;000000;381.3000000
GAZP;D;07/10/21;000000;370.7000000
GAZP;D;08/10/21;000000;366.1700000
GAZP;D;11/10/21;000000;369.8100000
GAZP;D;12/10/21;000000;364.1000000
GAZP;D;13/10/21;000000;362.7700000
GAZP;D;14/10/21;000000;367.0000000
GAZP;D;15/10/21;000000;367.7600000
GAZP;D;18/10/21;000000;363.5000000
GAZP;D;19/10/21;000000;368.8300000
GAZP;D;20/10/21;000000;369.9700000
GAZP;D;21/10/21;000000;363.3700000
GAZP;D;22/10/21;000000;358.1200000
GAZP;D;25/10/21;000000;364.8400000
GAZP;D;26/10/21;000000;364.8200000
GAZP;D;27/10/21;000000;362.1700000
GAZP;D;28/10/21;000000;353.2100000
GAZP;D;29/10/21;000000;350.1800000
GAZP;D;01/11/21;000000;359.1000000
GAZP;D;02/11/21;000000;352.4800000
GAZP;D;03/11/21;000000;353.0200000
GAZP;D;05/11/21;000000;350.6000000
GAZP;D;08/11/21;000000;351.4700000
GAZP;D;09/11/21;000000;349.4600000
GAZP;D;10/11/21;000000;345.8000000
GAZP;D;11/11/21;000000;347.4400000
GAZP;D;12/11/21;000000;333.6000000
GAZP;D;15/11/21;000000;340.3000000
GAZP;D;16/11/21;000000;336.7900000
GAZP;D;17/11/21;000000;349.9800000
GAZP;D;18/11/21;000000;345.5600000
GAZP;D;19/11/21;000000;337.6200000
GAZP;D;22/11/21;000000;319.2000000
GAZP;D;23/11/21;000000;341.7700000
GAZP;D;24/11/21;000000;338.3000000
GAZP;D;25/11/21;000000;337.5500000
GAZP;D;26/11/21;000000;326.0000000
GAZP;D;29/11/21;000000;339.2000000
GAZP;D;30/11/21;000000;334.2400000
GAZP;D;01/12/21;000000;345.2100000
GAZP;D;02/12/21;000000;350.3000000
GAZP;D;03/12/21;000000;345.9900000
GAZP;D;06/12/21;000000;338.9400000
GAZP;D;07/12/21;000000;344.9600000
GAZP;D;08/12/21;000000;340.5000000
